Date,Open,High,Low,Close,Adj Close,Volume,highorlow,isIncreseing
06-04-2016,7636.049805,7638.649902,7591.75,7614.350098,7614.350098,165600,83.949707,1
07-04-2016,7630.399902,7630.75,7535.850098,7546.450195,7546.450195,234400,-12.850097,0
08-04-2016,7542.350098,7569.350098,7526.700195,7555.200195,7555.200195,143400,-93.600097,0
11-04-2016,7577.799805,7678.799805,7516.850098,7671.399902,7671.399902,179800,-39.700195,0
12-04-2016,7669.25,7717.399902,7663.350098,7708.950195,7708.950195,163400,-73.300293,0
13-04-2016,7777.149902,7864.799805,7772.200195,7850.450195,7850.450195,220400,-6.550293,0
18-04-2016,7908.149902,7920.600098,7842.75,7914.700195,7914.700195,184600,35.299805,1
20-04-2016,7950.049805,7950.399902,7877.549805,7914.75,7914.75,205300,41.600097,1
21-04-2016,7953.649902,7978.450195,7884.100098,7912.049805,7912.049805,223700,-7.5,0
22-04-2016,7891.799805,7923.350098,7873.350098,7899.299805,7899.299805,183300,39.75,1
25-04-2016,7894.799805,7911,7827,7855.049805,7855.049805,146300,-134.5,0
26-04-2016,7828.149902,7974.5,7822.549805,7962.649902,7962.649902,202400,-37.899902,0
27-04-2016,7942,7991,7940.549805,7979.899902,7979.899902,206800,120.149902,1
28-04-2016,7967.399902,7992,7834.450195,7847.25,7847.25,292500,-5.549805,0
29-04-2016,7844.25,7889.049805,7788.700195,7849.799805,7849.799805,243700,16.800293,1
02-05-2016,7822.700195,7829.799805,7777.299805,7805.899902,7805.899902,146300,77.799805,1
03-05-2016,7824.799805,7890.25,7735.149902,7747,7747,186500,17.600097,1
04-05-2016,7724.149902,7749,7697.25,7706.549805,7706.549805,199700,-4.5,0
05-05-2016,7731,7777.549805,7706.850098,7735.5,7735.5,185100,-15.800293,0
06-05-2016,7717.649902,7738.899902,7678.350098,7733.450195,7733.450195,163600,-110.799805,0
09-05-2016,7755.25,7873.649902,7753.549805,7866.049805,7866.049805,160600,-14.25,0
10-05-2016,7873.549805,7896.899902,7837.700195,7887.799805,7887.799805,162000,-44.200196,0
11-05-2016,7804.649902,7893.100098,7780.899902,7848.850098,7848.850098,214100,-28.949707,0
12-05-2016,7871.450195,7916.049805,7849.649902,7900.399902,7900.399902,152700,66.100098,1
13-05-2016,7881,7881,7784.200195,7814.899902,7814.899902,179500,-29.549805,0
16-05-2016,7831.200195,7873.899902,7772.149902,7860.75,7860.75,205200,6.100098,1
17-05-2016,7896.850098,7940.100098,7879.700195,7890.75,7890.75,183400,-23.399902,0
18-05-2016,7846.75,7882.049805,7810.75,7870.149902,7870.149902,156400,92.100098,1
19-05-2016,7875.5,7876.200195,7766.799805,7783.399902,7783.399902,170400,42.5,1
20-05-2016,7792.200195,7812.399902,7735.75,7749.700195,7749.700195,157000,82.90039,1
23-05-2016,7813.950195,7820.600098,7722.200195,7731.049805,7731.049805,172000,-10.800293,0
24-05-2016,7738.049805,7761.549805,7715.799805,7748.850098,7748.850098,147000,-123.100097,0
25-05-2016,7811.799805,7941.200195,7809.299805,7934.899902,7934.899902,176200,-95.199707,0
26-05-2016,7974.450195,8083,7948.5,8069.649902,8069.649902,264300,-74.699707,0
27-05-2016,8081.950195,8164.200195,8077.049805,8156.649902,8156.649902,260900,-12,0
30-05-2016,8166.5,8200,8150.799805,8178.5,8178.5,247400,49.749511,1
31-05-2016,8209.849609,8213.599609,8134.299805,8160.100098,8160.100098,471000,-0.75,0
01-06-2016,8179.200195,8215.349609,8171.049805,8179.950195,8179.950195,194400,-62.050293,0
02-06-2016,8156.899902,8229.5,8154.75,8218.950195,8218.950195,181700,25.40039,1
03-06-2016,8246.200195,8262,8209.849609,8220.799805,8220.799805,379000,27.700195,1
06-06-2016,8228.75,8234.700195,8186.049805,8201.049805,8201.049805,171600,-30.90039,0
07-06-2016,8235.549805,8294.950195,8216.400391,8266.450195,8266.450195,241900,12.450195,1
08-06-2016,8285.5,8288.900391,8252.049805,8273.049805,8273.049805,174300,69.75,1
09-06-2016,8273.349609,8273.349609,8184.600098,8203.599609,8203.599609,174900,10.200195,1
10-06-2016,8180.25,8265.599609,8162.850098,8170.049805,8170.049805,182200,-8.350098,0
13-06-2016,8102.25,8125.25,8063.899902,8110.600098,8110.600098,169700,25.549804,1
14-06-2016,8134.399902,8134.950195,8069.5,8108.850098,8108.850098,145500,-67.199707,0
15-06-2016,8139.399902,8213.200195,8123.149902,8206.599609,8206.599609,169800,39.899902,1
16-06-2016,8180.649902,8180.649902,8074.450195,8140.75,8140.75,189200,6.449707,1
17-06-2016,8176.649902,8195.25,8135.799805,8170.200195,8170.200195,166600,-122.75,0
20-06-2016,8115.75,8244.150391,8107.350098,8238.5,8238.5,168600,35.5,1
21-06-2016,8255.400391,8257.25,8202.150391,8219.900391,8219.900391,137000,9.950196,1
22-06-2016,8213.650391,8238.349609,8153.25,8203.700195,8203.700195,136100,-69.299804,0
23-06-2016,8201.150391,8285.599609,8188.299805,8270.450195,8270.450195,154100,-59.5,0
24-06-2016,8029.100098,8100.700195,7927.049805,8088.600098,8088.600098,297600,-55.350097,0
27-06-2016,8039.350098,8120.649902,8039.350098,8094.700195,8094.700195,162500,-31.800293,0
28-06-2016,8096.049805,8146.350098,8086.850098,8127.850098,8127.850098,170400,-30.899902,0
29-06-2016,8173.100098,8212.400391,8157.649902,8204,8204,147000,-27.5,0
