Date,Nifty50_Open ,Nifty50_High,Nifty50_Low,Nifty50_Close,Nifty50_Shares Traded,Nifty50_Turnover (? Cr),Bank_Open ,Bank_High ,Bank_Low,Bank_Close,Bank_Shares Traded,Bank_Turnover (? Cr),Next_Date,Next_Nifty50_Open ,Next_Nifty50_High,Next_Nifty50_Low,Next_Nifty50_Close,Next_Nifty50_Shares Traded,Next_Nifty50_Turnover (? Cr),Next_Bank_Open ,Next_Bank_High ,Next_Bank_Low,Next_Bank_Close,Next_Bank_Shares Traded,Next_Bank_Turnover (? Cr)
01-Sep-23,19258.15,19458.55,19255.7,19435.3,372502191,25962.38,43996.1,44568.55,43830.75,44436.1,320777071,10328.28,04-Sep-23,19525.05,19545.15,19432.85,19528.8,396071122,24822.79,44647.65,44656.05,44310.95,44578.3,238633547,7239.65
04-Sep-23,19525.05,19545.15,19432.85,19528.8,396071122,24822.79,44647.65,44656.05,44310.95,44578.3,238633547,7239.65,05-Sep-23,19564.65,19587.05,19525.75,19574.9,303958622,24029.89,44625.05,44668.7,44401.7,44532.15,225502820,9163
05-Sep-23,19564.65,19587.05,19525.75,19574.9,303958622,24029.89,44625.05,44668.7,44401.7,44532.15,225502820,9163,06-Sep-23,19581.2,19636.45,19491.5,19611.05,512974083,32500.52,44494.65,44577,44207.25,44409.1,252042492,13586.52
06-Sep-23,19581.2,19636.45,19491.5,19611.05,512974083,32500.52,44494.65,44577,44207.25,44409.1,252042492,13586.52,07-Sep-23,19598.65,19737,19550.05,19727.05,304929822,23591,44418.05,44915.55,44341.2,44878.35,169135265,7633.64
07-Sep-23,19598.65,19737,19550.05,19727.05,304929822,23591,44418.05,44915.55,44341.2,44878.35,169135265,7633.64,08-Sep-23,19774.8,19867.15,19728.05,19819.95,288093693,23530.84,44953.65,45383.35,44812.15,45156.4,179081128,7981.56
08-Sep-23,19774.8,19867.15,19728.05,19819.95,288093693,23530.84,44953.65,45383.35,44812.15,45156.4,179081128,7981.56,11-Sep-23,19890,20008.15,19865.35,19996.35,248763130,21924.34,45340.8,45636.2,45231.3,45570.7,228140725,7468.15
11-Sep-23,19890,20008.15,19865.35,19996.35,248763130,21924.34,45340.8,45636.2,45231.3,45570.7,228140725,7468.15,12-Sep-23,20110.15,20110.35,19914.65,19993.2,328064239,30110.8,45893.8,45893.8,45322.55,45511.35,271358960,10172.39
12-Sep-23,20110.15,20110.35,19914.65,19993.2,328064239,30110.8,45893.8,45893.8,45322.55,45511.35,271358960,10172.39,13-Sep-23,19989.5,20096.9,19944.1,20070,251394599,24332.36,45449.35,45990.5,45299.4,45909.45,441730790,13835.45
13-Sep-23,19989.5,20096.9,19944.1,20070,251394599,24332.36,45449.35,45990.5,45299.4,45909.45,441730790,13835.45,14-Sep-23,20127.95,20167.65,20043.45,20103.1,275111881,21902.65,46013.3,46153.9,45801.5,46000.85,238571609,7707.6
14-Sep-23,20127.95,20167.65,20043.45,20103.1,275111881,21902.65,46013.3,46153.9,45801.5,46000.85,238571609,7707.6,15-Sep-23,20156.45,20222.45,20129.7,20192.35,438185104,42681.35,46122.15,46310.4,46028.75,46231.5,278351267,20191.93
15-Sep-23,20156.45,20222.45,20129.7,20192.35,438185104,42681.35,46122.15,46310.4,46028.75,46231.5,278351267,20191.93,18-Sep-23,20155.95,20195.35,20115.7,20133.3,264870758,21135.95,46100.95,46252.95,45906.9,45979.85,348764457,10538.53
18-Sep-23,20155.95,20195.35,20115.7,20133.3,264870758,21135.95,46100.95,46252.95,45906.9,45979.85,348764457,10538.53,20-Sep-23,19980.75,20050.65,19878.85,19901.4,378065882,37351.58,45493.7,45745.15,45276.4,45384.6,334008742,18829.96
20-Sep-23,19980.75,20050.65,19878.85,19901.4,378065882,37351.58,45493.7,45745.15,45276.4,45384.6,334008742,18829.96,21-Sep-23,19840.55,19848.75,19709.95,19742.35,275132260,26711.83,45179.6,45276.8,44592.45,44623.85,257738910,13103.32
21-Sep-23,19840.55,19848.75,19709.95,19742.35,275132260,26711.83,45179.6,45276.8,44592.45,44623.85,257738910,13103.32,22-Sep-23,19744.85,19798.65,19657.5,19674.25,246410075,24137.57,44707.35,44996.75,44548.9,44612.05,249378233,11352.13
22-Sep-23,19744.85,19798.65,19657.5,19674.25,246410075,24137.57,44707.35,44996.75,44548.9,44612.05,249378233,11352.13,25-Sep-23,19678.2,19734.15,19601.55,19674.55,188398392,20194.48,44615,44936.55,44400.9,44766.1,266505760,8410.26
25-Sep-23,19678.2,19734.15,19601.55,19674.55,188398392,20194.48,44615,44936.55,44400.9,44766.1,266505760,8410.26,26-Sep-23,19682.8,19699.35,19637.45,19664.7,204869058,18118.19,44722.5,44773.8,44532.45,44624.2,188450888,6921.22
26-Sep-23,19682.8,19699.35,19637.45,19664.7,204869058,18118.19,44722.5,44773.8,44532.45,44624.2,188450888,6921.22,27-Sep-23,19637.05,19730.7,19554,19716.45,203559874,19659.17,44465.9,44668,44182.5,44588.3,221854101,8518.1
27-Sep-23,19637.05,19730.7,19554,19716.45,203559874,19659.17,44465.9,44668,44182.5,44588.3,221854101,8518.1,28-Sep-23,19761.8,19766.65,19492.1,19523.55,352810261,30069.78,44700.35,44756.8,44248.2,44300.95,389938076,15365.78
28-Sep-23,19761.8,19766.65,19492.1,19523.55,352810261,30069.78,44700.35,44756.8,44248.2,44300.95,389938076,15365.78,29-Sep-23,19581.2,19726.25,19551.05,19638.3,243508919,20978.72,44445.35,44755.05,44344.9,44584.55,155984970,7457.08
29-Sep-23,19581.2,19726.25,19551.05,19638.3,243508919,20978.72,44445.35,44755.05,44344.9,44584.55,155984970,7457.08,03-Oct-23,19622.4,19623.2,19479.65,19528.75,221719625,21459.58,44561.5,44566.3,44243.1,44399.05,192648191,8839.94
03-Oct-23,19622.4,19623.2,19479.65,19528.75,221719625,21459.58,44561.5,44566.3,44243.1,44399.05,192648191,8839.94,04-Oct-23,19446.3,19457.8,19333.6,19436.1,277148310,26017.47,44108.15,44161.35,43857.5,43964.05,310337941,13684.99
04-Oct-23,19446.3,19457.8,19333.6,19436.1,277148310,26017.47,44108.15,44161.35,43857.5,43964.05,310337941,13684.99,05-Oct-23,19521.85,19576.95,19487.3,19545.75,234865323,22019.04,44181.35,44391.85,44108.3,44213.35,243397808,8920.31
05-Oct-23,19521.85,19576.95,19487.3,19545.75,234865323,22019.04,44181.35,44391.85,44108.3,44213.35,243397808,8920.31,06-Oct-23,19621.2,19675.75,19589.4,19653.5,159051277,16096.52,44395.4,44500.7,44242.95,44360.6,157546711,5072.44
06-Oct-23,19621.2,19675.75,19589.4,19653.5,159051277,16096.52,44395.4,44500.7,44242.95,44360.6,157546711,5072.44,09-Oct-23,19539.45,19588.95,19480.5,19512.35,165094800,15499.67,44057.8,44113.2,43796.75,43886.5,162329888,5048.43
